净值日期,单位净值,累计净值,日增长率
2021-08-16,1.0000,1.0000,0.00
2021-08-20,1.0001,1.0001,0.00
2021-08-27,1.0003,1.0003,0.00
2021-08-30,1.0004,1.0004,0.01
2021-08-31,1.7299,1.7299,72.92
2021-09-01,1.7300,1.7300,0.01
2021-09-02,1.7295,1.7295,-0.03
2021-09-03,1.7251,1.7251,-0.25
2021-09-06,1.7267,1.7267,0.09
2021-09-07,1.7316,1.7316,0.28
2021-09-08,1.7294,1.7294,-0.13
2021-09-09,1.7315,1.7315,0.12
2021-09-10,1.7366,1.7366,0.29
2021-09-13,1.7395,1.7395,0.17
2021-09-14,1.7392,1.7392,-0.02
2021-09-15,1.7398,1.7398,0.03
2021-09-16,1.7337,1.7337,-0.35
2021-09-17,1.7350,1.7350,0.07
2021-09-22,1.7372,1.7372,0.13
2021-09-23,1.7320,1.7320,-0.30
2021-09-24,1.7257,1.7257,-0.36
2021-09-27,1.7129,1.7129,-0.74
2021-09-28,1.7091,1.7091,-0.22
2021-09-29,1.6937,1.6937,-0.90
2021-09-30,1.7049,1.7049,0.66
2021-10-08,1.6985,1.6985,-0.38
2021-10-11,1.6955,1.6955,-0.18
2021-10-12,1.6883,1.6883,-0.42
2021-10-13,1.6915,1.6915,0.19
2021-10-14,1.6945,1.6945,0.18
2021-10-15,1.6968,1.6968,0.14
2021-10-18,1.7038,1.7038,0.41
2021-10-19,1.7078,1.7078,0.23
2021-10-20,1.7129,1.7129,0.30
2021-10-21,1.7128,1.7128,-0.01
2021-10-22,1.7078,1.7078,-0.29
2021-10-25,1.7169,1.7169,0.53
2021-10-26,1.7158,1.7158,-0.06
2021-10-27,1.7188,1.7188,0.17
2021-10-28,1.7121,1.7121,-0.39
2021-10-29,1.7105,1.7105,-0.09
2021-11-01,1.7070,1.7070,-0.20
2021-11-02,1.7023,1.7023,-0.28
2021-11-03,1.7019,1.7019,-0.02
2021-11-04,1.7028,1.7028,0.05
2021-11-05,1.6985,1.6985,-0.25
2021-11-08,1.7032,1.7032,0.28
2021-11-09,1.7072,1.7072,0.23
2021-11-10,1.7040,1.7040,-0.19
2021-11-11,1.7041,1.7041,0.01
2021-11-12,1.7079,1.7079,0.22
2021-11-15,1.6968,1.6968,-0.65
2021-11-16,1.6893,1.6893,-0.44
2021-11-17,1.6956,1.6956,0.37
2021-11-18,1.6951,1.6951,-0.03
2021-11-19,1.6984,1.6984,0.19
2021-11-22,1.7096,1.7096,0.66
2021-11-23,1.7039,1.7039,-0.33
2021-11-24,1.6994,1.6994,-0.26
2021-11-25,1.6949,1.6949,-0.26
2021-11-26,1.6979,1.6979,0.18
2021-11-29,1.7070,1.7070,0.54
2021-11-30,1.7081,1.7081,0.06
2021-12-01,1.7027,1.7027,-0.32
2021-12-02,1.7019,1.7019,-0.05
2021-12-03,1.7025,1.7025,0.04
2021-12-06,1.6984,1.6984,-0.24
2021-12-07,1.6932,1.6932,-0.31
2021-12-08,1.7019,1.7019,0.51
2021-12-09,1.7030,1.7030,0.06
2021-12-10,1.7074,1.7074,0.26
2021-12-13,1.7070,1.7070,-0.02
2021-12-14,1.7031,1.7031,-0.23
2021-12-15,1.6984,1.6984,-0.28
2021-12-16,1.6983,1.6983,-0.01
2021-12-17,1.6906,1.6906,-0.45
2021-12-20,1.6806,1.6806,-0.59
2021-12-21,1.6828,1.6828,0.13
2021-12-22,1.6850,1.6850,0.13
2021-12-23,1.6860,1.6860,0.06
2021-12-24,1.6791,1.6791,-0.41
2021-12-27,1.6786,1.6786,-0.03
2021-12-28,1.6859,1.6859,0.43
2021-12-29,1.6817,1.6817,-0.25
2021-12-30,1.6844,1.6844,0.16
2021-12-31,1.6877,1.6877,0.20
2022-01-04,1.6820,1.6820,-0.34
2022-01-05,1.6721,1.6721,-0.59
2022-01-06,1.6692,1.6692,-0.17
2022-01-07,1.6638,1.6638,-0.32
2022-01-10,1.6657,1.6657,0.11
2022-01-11,1.6600,1.6600,-0.34
2022-01-12,1.6721,1.6721,0.73
2022-01-13,1.6647,1.6647,-0.44
2022-01-14,1.6653,1.6653,0.04
2022-01-17,1.6696,1.6696,0.26
2022-01-18,1.6716,1.6716,0.12
2022-01-19,1.6657,1.6657,-0.35
2022-01-20,1.6647,1.6647,-0.06
2022-01-21,1.6628,1.6628,-0.11
2022-01-24,1.6676,1.6676,0.29
2022-01-25,1.6603,1.6603,-0.44
2022-01-26,1.6632,1.6632,0.17
2022-01-27,1.6562,1.6562,-0.42
2022-01-28,1.6500,1.6500,-0.37
2022-02-07,1.6545,1.6545,0.27
2022-02-08,1.6444,1.6444,-0.61
2022-02-09,1.6471,1.6471,0.16
2022-02-10,1.6476,1.6476,0.03
2022-02-11,1.6415,1.6415,-0.37
2022-02-14,1.6376,1.6376,-0.24
2022-02-15,1.6455,1.6455,0.48
2022-02-16,1.6461,1.6461,0.04
2022-02-17,1.6501,1.6501,0.24
2022-02-18,1.6489,1.6489,-0.07
