净值日期,单位净值,累计净值,日增长率
2021-04-29,1.0000,1.0000,0.00
2021-04-30,0.9994,0.9994,-0.06
2021-05-07,1.0003,1.0003,0.00
2021-05-14,1.0005,1.0005,0.00
2021-05-17,1.0006,1.0006,0.01
2021-05-18,1.0007,1.0007,0.01
2021-05-19,1.0008,1.0008,0.01
2021-05-20,1.0009,1.0009,0.01
2021-05-21,1.0011,1.0011,0.02
2021-05-24,1.0014,1.0014,0.03
2021-05-25,1.0423,1.0423,4.08
2021-05-26,1.0373,1.0373,-0.48
2021-05-27,1.0382,1.0382,0.09
2021-05-28,1.0382,1.0382,0.00
2021-05-31,1.0383,1.0383,0.01
2021-06-01,1.0384,1.0384,0.01
2021-06-02,1.0385,1.0385,0.01
2021-06-03,1.0385,1.0385,0.00
2021-06-04,1.0386,1.0386,0.01
2021-06-07,1.0387,1.0387,0.01
2021-06-08,1.0387,1.0387,0.00
2021-06-09,1.0388,1.0388,0.01
2021-06-10,1.0388,1.0388,0.00
2021-06-11,1.0388,1.0388,0.00
2021-06-15,1.0390,1.0390,0.02
2021-06-16,1.0390,1.0390,0.00
2021-06-17,1.0390,1.0390,0.00
2021-06-18,1.0391,1.0391,0.01
2021-06-21,1.0392,1.0392,0.01
2021-06-22,1.0392,1.0392,0.00
2021-06-23,1.0392,1.0392,0.00
2021-06-24,1.0392,1.0392,0.00
2021-06-25,1.0393,1.0393,0.01
2021-06-28,1.0395,1.0395,0.02
2021-06-29,1.0396,1.0396,0.01
2021-06-30,1.0395,1.0395,-0.01
2021-07-01,1.0396,1.0396,0.01
2021-07-02,1.0396,1.0396,0.00
2021-07-05,1.0395,1.0395,-0.01
2021-07-06,1.0407,1.0407,0.12
2021-07-07,1.0418,1.0418,0.11
2021-07-08,1.0471,1.0471,0.51
2021-07-09,1.0475,1.0475,0.04
2021-07-12,1.0450,1.0450,-0.24
2021-07-13,1.0452,1.0452,0.02
2021-07-14,1.0455,1.0455,0.03
2021-07-15,1.0458,1.0458,0.03
2021-07-16,1.0461,1.0461,0.03
2021-07-19,1.0463,1.0463,0.02
2021-07-20,1.0469,1.0469,0.06
2021-07-21,1.0468,1.0468,-0.01
2021-07-22,1.0468,1.0468,0.00
2021-07-23,1.0470,1.0470,0.02
2021-07-26,1.0472,1.0472,0.02
2021-07-27,1.0473,1.0473,0.01
2021-07-28,1.0471,1.0471,-0.02
2021-07-29,1.0468,1.0468,-0.03
2021-07-30,1.0472,1.0472,0.04
2021-08-02,1.0477,1.0477,0.05
2021-08-03,1.0476,1.0476,-0.01
2021-08-04,1.0477,1.0477,0.01
2021-08-05,1.0476,1.0476,-0.01
2021-08-06,1.0481,1.0481,0.05
2021-08-09,1.0479,1.0479,-0.02
2021-08-10,1.0476,1.0476,-0.03
2021-08-11,1.0474,1.0474,-0.02
2021-08-12,1.0474,1.0474,0.00
2021-08-13,1.0476,1.0476,0.02
2021-08-16,1.0479,1.0479,0.03
2021-08-17,1.0479,1.0479,0.00
2021-08-18,1.0479,1.0479,0.00
2021-08-19,1.0479,1.0479,0.00
2021-08-20,1.0480,1.0480,0.01
2021-08-23,1.0479,1.0479,-0.01
2021-08-24,1.4621,1.4621,39.53
2021-08-25,1.4620,1.4620,-0.01
2021-08-26,1.4616,1.4616,-0.03
2021-08-27,1.4610,1.4610,-0.04
2021-08-30,1.4619,1.4619,0.06
2021-08-31,1.4622,1.4622,0.02
2021-09-01,1.4624,1.4624,0.01
2021-09-02,1.4626,1.4626,0.01
2021-09-03,1.4624,1.4624,-0.01
2021-09-06,1.4624,1.4624,0.00
2021-09-07,1.4621,1.4621,-0.02
2021-09-08,1.4619,1.4619,-0.01
2021-09-09,1.4614,1.4614,-0.03
2021-09-10,1.4609,1.4609,-0.03
2021-09-13,1.4613,1.4613,0.03
2021-09-14,1.4612,1.4612,-0.01
2021-09-15,1.4611,1.4611,-0.01
2021-09-16,1.4612,1.4612,0.01
2021-09-17,1.4612,1.4612,0.00
2021-09-22,1.4615,1.4615,0.02
2021-09-23,1.4615,1.4615,0.00
2021-09-24,1.4615,1.4615,0.00
2021-09-27,1.4616,1.4616,0.01
2021-09-28,1.4616,1.4616,0.00
2021-09-29,1.4619,1.4619,0.02
2021-09-30,1.4622,1.4622,0.02
2021-10-08,1.4628,1.4628,0.04
2021-10-11,1.4629,1.4629,0.01
2021-10-12,1.4629,1.4629,0.00
2021-10-13,1.4629,1.4629,0.00
2021-10-14,1.4629,1.4629,0.00
2021-10-15,1.4629,1.4629,0.00
2021-10-18,1.4655,1.4655,0.18
2021-10-19,1.5861,1.5861,8.23
2021-10-20,1.5863,1.5863,0.01
2021-10-21,1.6147,1.6147,1.79
2021-10-22,1.6147,1.6147,0.00
2021-10-25,1.6149,1.6149,0.01
2021-10-26,1.6150,1.6150,0.01
2021-10-27,1.6149,1.6149,-0.01
2021-10-28,1.6152,1.6152,0.02
2021-10-29,1.6153,1.6153,0.01
2021-11-01,1.6154,1.6154,0.01
2021-11-02,1.6155,1.6155,0.01
2021-11-03,1.6158,1.6158,0.02
2021-11-04,1.6157,1.6157,-0.01
2021-11-05,1.6158,1.6158,0.01
2021-11-08,1.6161,1.6161,0.02
2021-11-09,1.6162,1.6162,0.01
2021-11-10,1.6163,1.6163,0.01
2021-11-11,1.6162,1.6162,-0.01
2021-11-12,1.6163,1.6163,0.01
2021-11-15,1.6168,1.6168,0.03
2021-11-16,1.6167,1.6167,-0.01
2021-11-17,1.6168,1.6168,0.01
2021-11-18,1.6169,1.6169,0.01
2021-11-19,1.6170,1.6170,0.01
2021-11-22,1.6173,1.6173,0.02
2021-11-23,1.6174,1.6174,0.01
2021-11-24,1.6174,1.6174,0.00
2021-11-25,1.6175,1.6175,0.01
2021-11-26,1.6175,1.6175,0.00
2021-11-29,1.6176,1.6176,0.01
2021-11-30,1.6178,1.6178,0.01
2021-12-01,1.6178,1.6178,0.00
2021-12-02,1.6178,1.6178,0.00
2021-12-03,1.6180,1.6180,0.01
2021-12-06,1.6198,1.6198,0.11
2021-12-07,1.6188,1.6188,-0.06
2021-12-08,1.6186,1.6186,-0.01
2021-12-09,1.6185,1.6185,-0.01
2021-12-10,1.6184,1.6184,-0.01
2021-12-13,1.6185,1.6185,0.01
2021-12-14,1.6188,1.6188,0.02
2021-12-15,1.6192,1.6192,0.02
2021-12-16,1.6192,1.6192,0.00
2021-12-17,1.6193,1.6193,0.01
2021-12-20,1.6191,1.6191,-0.01
2021-12-21,1.6189,1.6189,-0.01
2021-12-22,1.6190,1.6190,0.01
2021-12-23,1.6194,1.6194,0.02
2021-12-24,1.6195,1.6195,0.01
2021-12-27,1.5402,1.6202,0.04
2021-12-28,1.5405,1.6205,0.02
2021-12-29,1.5409,1.6209,0.03
2021-12-30,1.5412,1.6212,0.02
2021-12-31,1.5417,1.6217,0.03
2022-01-04,1.5422,1.6222,0.03
2022-01-05,1.5423,1.6223,0.01
2022-01-06,1.5421,1.6221,-0.01
2022-01-07,1.5424,1.6224,0.02
2022-01-10,1.5430,1.6230,0.04
2022-01-11,1.5434,1.6234,0.03
2022-01-12,1.5436,1.6236,0.01
2022-01-13,1.5437,1.6237,0.01
2022-01-14,1.5436,1.6236,-0.01
2022-01-17,1.5444,1.6244,0.05
2022-01-18,1.5472,1.6272,0.18
2022-01-19,1.5483,1.6283,0.07
2022-01-20,1.5488,1.6288,0.03
2022-01-21,1.5498,1.6298,0.06
2022-01-24,1.5515,1.6315,0.11
2022-01-25,1.5507,1.6307,-0.05
2022-01-26,1.4731,1.6301,-0.04
2022-01-27,1.4725,1.6295,-0.04
2022-01-28,1.4739,1.6309,0.10
2022-02-07,1.4744,1.6314,0.03
2022-02-08,1.4747,1.6317,0.02
2022-02-09,1.4746,1.6316,-0.01
2022-02-10,1.4750,1.6320,0.03
2022-02-11,1.4737,1.6307,-0.09
2022-02-14,1.4736,1.6306,-0.01
2022-02-15,1.4732,1.6302,-0.03
2022-02-16,1.4734,1.6304,0.01
2022-02-17,1.4738,1.6308,0.03
2022-02-18,1.4734,1.6304,-0.03
