净值日期,单位净值,累计净值,日增长率
2019-01-28,0.1403,0.1403,0.00
2019-01-29,0.1411,0.1411,0.57
2019-01-30,0.1434,0.1434,1.63
2019-01-31,0.1437,0.1437,0.21
2019-02-01,0.1439,0.1439,0.14
2019-02-11,0.1381,0.1381,-4.03
2019-02-12,0.1393,0.1393,0.87
2019-02-13,0.1417,0.1417,1.72
2019-02-14,0.1427,0.1427,0.71
2019-02-15,0.1454,0.1454,1.89
2019-02-19,0.1453,0.1453,0.00
2019-02-20,0.1456,0.1456,0.21
2019-02-21,0.1427,0.1427,-1.99
2019-02-22,0.1434,0.1434,0.49
2019-02-25,0.1432,0.1432,-0.14
2019-02-26,0.1422,0.1422,-0.70
2019-02-27,0.1424,0.1424,0.14
2019-02-28,0.1405,0.1405,-1.33
2019-03-01,0.1430,0.1430,1.78
2019-03-04,0.1434,0.1434,0.28
2019-03-05,0.1421,0.1421,-0.91
2019-03-06,0.1395,0.1395,-1.83
2019-03-07,0.1382,0.1382,-0.93
2019-03-08,0.1340,0.1340,-3.04
2019-03-11,0.1364,0.1364,1.79
2019-03-12,0.1382,0.1382,1.32
2019-03-13,0.1401,0.1401,1.37
2019-03-14,0.1405,0.1405,0.29
2019-03-15,0.1405,0.1405,0.00
2019-03-18,0.1429,0.1429,1.71
2019-03-19,0.1421,0.1421,-0.56
2019-03-20,0.1445,0.1445,1.69
2019-03-21,0.1456,0.1456,0.76
2019-03-22,0.1407,0.1407,-3.37
2019-03-25,0.1411,0.1411,0.28
2019-03-26,0.1438,0.1438,1.91
2019-03-27,0.1433,0.1433,-0.35
2019-03-28,0.1435,0.1435,0.14
2019-03-29,0.1429,0.1429,-0.42
2019-04-01,0.1445,0.1445,1.12
2019-04-02,0.1428,0.1428,-1.18
2019-04-03,0.1408,0.1408,-1.40
2019-04-04,0.1419,0.1419,0.78
2019-04-08,0.1466,0.1466,3.31
2019-04-09,0.1442,0.1442,-1.64
2019-04-10,0.1461,0.1461,1.32
2019-04-11,0.1452,0.1452,-0.62
2019-04-12,0.1508,0.1508,3.86
2019-04-15,0.1491,0.1491,-1.13
2019-04-16,0.1496,0.1496,0.34
2019-04-17,0.1498,0.1498,0.13
2019-04-18,0.1494,0.1494,-0.27
2019-04-19,0.1494,0.1494,0.00
2019-04-22,0.1530,0.1530,2.41
2019-04-23,0.1527,0.1527,-0.20
2019-04-24,0.1507,0.1507,-1.31
2019-04-25,0.1498,0.1498,-0.60
2019-04-26,0.1480,0.1480,-1.20
2019-04-29,0.1477,0.1477,-0.20
2019-04-30,0.1471,0.1471,-0.41
2019-05-06,0.1424,0.1424,-3.20
2019-05-07,0.1410,0.1410,-0.98
2019-05-08,0.1414,0.1414,0.28
2019-05-09,0.1407,0.1407,-0.50
2019-05-10,0.1416,0.1416,0.64
2019-05-13,0.1387,0.1387,-2.05
2019-05-14,0.1411,0.1411,1.73
2019-05-15,0.1417,0.1417,0.43
2019-05-16,0.1433,0.1433,1.13
2019-05-17,0.1411,0.1411,-1.54
2019-05-20,0.1406,0.1406,-0.35
2019-05-21,0.1433,0.1433,1.92
2019-05-22,0.1396,0.1396,-2.58
2019-05-23,0.1333,0.1333,-4.51
2019-05-24,0.1333,0.1333,0.00
2019-05-27,0.1332,0.1332,-0.08
2019-05-28,0.1322,0.1322,-0.75
2019-05-29,0.1321,0.1321,-0.08
2019-05-30,0.1295,0.1295,-1.97
2019-05-31,0.1275,0.1275,-1.54
2019-06-03,0.1288,0.1288,1.02
2019-06-04,0.1308,0.1308,1.55
2019-06-05,0.1280,0.1280,-2.14
2019-06-06,0.1295,0.1295,1.17
2019-06-10,0.1299,0.1299,0.31
