净值日期,单位净值,累计净值,日增长率
2018-11-02,1.0000,1.0000,0.00
2018-11-09,1.0002,1.0002,0.00
2018-11-16,1.0005,1.0005,0.00
2018-11-23,1.0009,1.0009,0.00
2018-11-30,1.0012,1.0012,0.00
2018-12-07,1.0028,1.0028,0.00
2018-12-14,1.0021,1.0021,0.00
2018-12-21,1.0029,1.0029,0.00
2018-12-28,1.0046,1.0046,0.00
2018-12-31,1.0050,1.0050,0.00
2019-01-04,1.0065,1.0065,0.00
2019-01-07,1.0072,1.0072,0.07
2019-01-08,1.0142,1.0142,0.70
2019-01-09,1.0122,1.0122,-0.20
2019-01-10,1.0129,1.0129,0.07
2019-01-11,1.0129,1.0129,0.00
2019-01-14,1.0124,1.0124,-0.05
2019-01-15,1.0124,1.0124,0.00
2019-01-16,1.0124,1.0124,0.00
2019-01-17,1.0124,1.0124,0.00
2019-01-18,1.0124,1.0124,0.00
2019-01-21,1.0125,1.0125,0.01
2019-01-22,1.0125,1.0125,0.00
2019-01-23,1.0125,1.0125,0.00
2019-01-24,1.0127,1.0127,0.02
2019-01-25,1.0129,1.0129,0.02
2019-01-28,1.0128,1.0128,-0.01
2019-01-29,1.0138,1.0138,0.10
2019-01-30,1.0140,1.0140,0.02
2019-01-31,1.0143,1.0143,0.03
2019-02-01,1.0149,1.0149,0.06
2019-02-11,1.0150,1.0150,0.01
2019-02-12,1.0158,1.0158,0.08
2019-02-13,1.0161,1.0161,0.03
2019-02-14,1.0162,1.0162,0.01
2019-02-15,1.0164,1.0164,0.02
2019-02-18,1.0167,1.0167,0.03
2019-02-19,1.0166,1.0166,-0.01
2019-02-20,1.0167,1.0167,0.01
2019-02-21,1.0167,1.0167,0.00
2019-02-22,1.0166,1.0166,-0.01
2019-02-25,1.0166,1.0166,0.00
2019-02-26,1.0157,1.0157,-0.09
2019-02-27,1.0155,1.0155,-0.02
2019-02-28,1.0155,1.0155,0.00
2019-03-01,1.0154,1.0154,-0.01
2019-03-04,1.0152,1.0152,-0.02
2019-03-05,1.0150,1.0150,-0.02
2019-03-06,1.0147,1.0147,-0.03
2019-03-07,1.0149,1.0149,0.02
2019-03-08,1.0154,1.0154,0.05
2019-03-11,1.0159,1.0159,0.05
2019-03-12,1.0158,1.0158,-0.01
2019-03-13,1.0158,1.0158,0.00
2019-03-14,1.0250,1.0250,0.91
2019-03-15,1.0247,1.0247,-0.03
2019-03-18,1.0249,1.0249,0.02
2019-03-19,1.0249,1.0249,0.00
2019-03-20,1.0248,1.0248,-0.01
2019-03-21,1.0252,1.0252,0.04
2019-03-22,1.0254,1.0254,0.02
2019-03-25,1.0262,1.0262,0.08
2019-03-26,1.0265,1.0265,0.03
2019-03-27,1.0264,1.0264,-0.01
2019-03-28,1.0271,1.0271,0.07
2019-03-29,1.0274,1.0274,0.03
2019-04-01,1.0274,1.0274,0.00
2019-04-02,1.0267,1.0267,-0.07
2019-04-03,1.0263,1.0263,-0.04
2019-04-04,1.0257,1.0257,-0.06
2019-04-08,1.0257,1.0257,0.00
2019-04-09,1.0255,1.0255,-0.02
2019-04-10,1.0251,1.0251,-0.04
2019-04-11,1.0252,1.0252,0.01
2019-04-12,1.0253,1.0253,0.01
2019-04-15,1.0249,1.0249,-0.04
2019-04-16,1.0243,1.0243,-0.06
2019-04-17,1.0239,1.0239,-0.04
2019-04-18,1.0245,1.0245,0.06
2019-04-19,1.0252,1.0252,0.07
2019-04-22,1.0255,1.0255,0.03
2019-04-23,1.0254,1.0254,-0.01
2019-04-24,1.0254,1.0254,0.00
2019-04-25,1.0255,1.0255,0.01
2019-04-26,1.0270,1.0270,0.15
2019-04-29,1.0263,1.0263,-0.07
2019-04-30,1.0268,1.0268,0.05
2019-05-06,1.0277,1.0277,0.09
2019-05-07,1.0281,1.0281,0.04
2019-05-08,1.0287,1.0287,0.06
2019-05-09,1.0292,1.0292,0.05
2019-05-10,1.0296,1.0296,0.04
2019-05-13,1.0306,1.0306,0.10
2019-05-14,1.0312,1.0312,0.06
2019-05-15,1.0315,1.0315,0.03
2019-05-16,1.0318,1.0318,0.03
2019-05-17,1.0320,1.0320,0.02
2019-05-20,1.0324,1.0324,0.04
2019-05-21,1.0324,1.0324,0.00
2019-05-22,1.0321,1.0321,-0.03
2019-05-23,1.0322,1.0322,0.01
2019-05-24,1.0324,1.0324,0.02
2019-05-27,1.0321,1.0321,-0.03
2019-05-28,1.0320,1.0320,-0.01
2019-05-29,1.0323,1.0323,0.03
2019-05-30,1.0327,1.0327,0.04
2019-05-31,1.0330,1.0330,0.03
2019-06-03,1.0331,1.0331,0.01
2019-06-04,1.0333,1.0333,0.02
2019-06-05,1.0335,1.0335,0.02
2019-06-06,1.0336,1.0336,0.01
2019-06-10,1.0338,1.0338,0.02
2019-06-11,1.0336,1.0336,-0.02
2019-06-12,1.0333,1.0333,-0.03
2019-06-13,1.0332,1.0332,-0.01
2019-06-14,1.0333,1.0333,0.01
2019-06-17,1.0342,1.0342,0.09
2019-06-18,1.0346,1.0346,0.04
2019-06-19,1.0350,1.0350,0.04
2019-06-20,1.0356,1.0356,0.06
2019-06-21,1.0359,1.0359,0.03
2019-06-24,1.0361,1.0361,0.02
2019-06-25,1.0362,1.0362,0.01
2019-06-26,1.0365,1.0365,0.03
2019-06-27,1.0367,1.0367,0.02
2019-06-28,1.0372,1.0372,0.05
2019-06-30,1.0373,1.0373,0.00
2019-07-01,1.0376,1.0376,0.04
2019-07-02,1.0385,1.0385,0.09
2019-07-03,1.0386,1.0386,0.01
2019-07-04,1.0390,1.0390,0.04
2019-07-05,1.0387,1.0387,-0.03
2019-07-08,1.0389,1.0389,0.02
2019-07-09,1.0389,1.0389,0.00
2019-07-10,1.0390,1.0390,0.01
2019-07-11,1.0393,1.0393,0.03
2019-07-12,1.0394,1.0394,0.01
2019-07-15,1.0396,1.0396,0.02
2019-07-16,1.0397,1.0397,0.01
2019-07-17,1.0397,1.0397,0.00
2019-07-18,1.0400,1.0400,0.03
2019-07-19,1.0402,1.0402,0.02
2019-07-22,1.0408,1.0408,0.06
2019-07-23,1.0410,1.0410,0.02
2019-07-24,1.0410,1.0410,0.00
2019-07-25,1.0412,1.0412,0.02
2019-07-26,1.0417,1.0417,0.05
2019-07-29,1.0419,1.0419,0.02
2019-07-30,1.0421,1.0421,0.02
2019-07-31,1.0426,1.0426,0.05
2019-08-01,1.0428,1.0428,0.02
2019-08-02,1.0436,1.0436,0.08
2019-08-05,1.0459,1.0459,0.22
2019-08-06,1.0459,1.0459,0.00
2019-08-07,1.0464,1.0464,0.05
2019-08-08,1.0466,1.0466,0.02
2019-08-09,1.0476,1.0476,0.10
2019-08-12,1.0474,1.0474,-0.02
2019-08-13,1.0483,1.0483,0.09
2019-08-14,1.0481,1.0481,-0.02
2019-08-15,1.0490,1.0490,0.09
2019-08-16,1.0493,1.0493,0.03
2019-08-19,1.0498,1.0498,0.05
2019-08-20,1.0497,1.0497,-0.01
2019-08-21,1.0499,1.0499,0.02
2019-08-22,1.0505,1.0505,0.06
2019-08-23,1.0504,1.0504,-0.01
2019-08-26,1.0512,1.0512,0.08
2019-08-27,1.0508,1.0508,-0.04
2019-08-28,1.0509,1.0509,0.01
