净值日期,单位净值,累计净值,日增长率
2016-11-07,1.0000,1.0000,0.00
2016-11-11,1.0001,1.0001,0.00
2016-11-18,1.0001,1.0001,0.00
2016-11-23,1.0002,1.0002,0.00
2016-11-24,1.0002,1.0002,0.00
2016-11-25,1.0002,1.0002,0.00
2016-11-28,1.0002,1.0002,0.00
2016-11-29,1.0002,1.0002,0.00
2016-11-30,1.0002,1.0002,0.00
2016-12-01,1.0002,1.0002,0.00
2016-12-02,1.0003,1.0003,0.01
2016-12-05,1.0003,1.0003,0.00
2016-12-06,1.0003,1.0003,0.00
2016-12-07,1.0003,1.0003,0.00
2016-12-08,1.0004,1.0004,0.01
2016-12-09,1.0004,1.0004,0.00
2016-12-12,1.0004,1.0004,0.00
2016-12-13,1.0002,1.0002,-0.02
2016-12-14,0.9996,0.9996,-0.06
2016-12-15,0.9962,0.9962,-0.34
2016-12-16,0.9959,0.9959,-0.03
2016-12-19,0.9948,0.9948,-0.11
2016-12-20,0.9942,0.9942,-0.06
2016-12-21,0.9957,0.9957,0.15
2016-12-22,0.9963,0.9963,0.06
2016-12-23,0.9974,0.9974,0.11
2016-12-26,0.9981,0.9981,0.07
2016-12-27,0.9986,0.9986,0.05
2016-12-28,0.9986,0.9986,0.00
2016-12-29,0.9989,0.9989,0.03
2016-12-30,0.9992,0.9992,0.03
2016-12-31,0.9993,0.9993,0.01
2017-01-03,0.9998,0.9998,0.06
2017-01-04,1.0000,1.0000,0.02
2017-01-05,1.0001,1.0001,0.01
2017-01-06,1.0002,1.0002,0.01
2017-01-09,1.0005,1.0005,0.03
2017-01-10,1.0009,1.0009,0.04
2017-01-11,1.0011,1.0011,0.02
2017-01-12,1.0015,1.0015,0.04
2017-01-13,1.0017,1.0017,0.02
2017-01-16,1.0019,1.0019,0.02
2017-01-17,1.0014,1.0014,-0.05
2017-01-18,1.0010,1.0010,-0.04
2017-01-19,1.0009,1.0009,-0.01
2017-01-20,1.0016,1.0016,0.07
2017-01-23,1.0021,1.0021,0.05
2017-01-24,1.0021,1.0021,0.00
2017-01-25,1.0021,1.0021,0.00
2017-01-26,1.0021,1.0021,0.00
2017-02-03,1.0022,1.0022,0.01
2017-02-06,1.0020,1.0020,-0.02
2017-02-07,1.0014,1.0014,-0.06
2017-02-08,1.0014,1.0014,0.00
2017-02-09,1.0017,1.0017,0.03
2017-02-10,1.0018,1.0018,0.01
2017-02-13,1.0022,1.0022,0.04
2017-02-14,1.0023,1.0023,0.01
2017-02-15,1.0023,1.0023,0.00
2017-02-16,1.0024,1.0024,0.01
2017-02-17,1.0027,1.0027,0.03
2017-02-20,1.0031,1.0031,0.04
2017-02-21,1.0030,1.0030,-0.01
2017-02-22,1.0031,1.0031,0.01
2017-02-23,1.0033,1.0033,0.02
2017-02-24,1.0035,1.0035,0.02
2017-02-27,1.0037,1.0037,0.02
2017-02-28,1.0037,1.0037,0.00
2017-03-01,1.0037,1.0037,0.00
2017-03-02,1.0037,1.0037,0.00
2017-03-03,1.0038,1.0038,0.01
2017-03-06,1.0040,1.0040,0.02
2017-03-07,1.0041,1.0041,0.01
2017-03-08,1.0041,1.0041,0.00
2017-03-09,1.0041,1.0041,0.00
2017-03-10,1.0040,1.0040,-0.01
2017-03-13,1.0041,1.0041,0.01
2017-03-14,1.0041,1.0041,0.00
2017-03-15,1.0041,1.0041,0.00
2017-03-16,1.0043,1.0043,0.02
2017-03-17,1.0042,1.0042,-0.01
2017-03-20,1.0043,1.0043,0.01
2017-03-21,1.0040,1.0040,-0.03
2017-03-22,1.0041,1.0041,0.01
2017-03-23,1.0043,1.0043,0.02
2017-03-24,1.0046,1.0046,0.03
2017-03-27,1.0051,1.0051,0.05
2017-03-28,1.0052,1.0052,0.01
2017-03-29,1.0052,1.0052,0.00
2017-03-30,1.0053,1.0053,0.01
2017-03-31,1.0055,1.0055,0.02
2017-04-05,1.0061,1.0061,0.06
2017-04-06,1.0063,1.0063,0.02
2017-04-07,1.0064,1.0064,0.01
2017-04-10,1.0067,1.0067,0.03
2017-04-11,1.0068,1.0068,0.01
2017-04-12,1.0068,1.0068,0.00
2017-04-13,1.0069,1.0069,0.01
2017-04-14,1.0069,1.0069,0.00
2017-04-17,1.0071,1.0071,0.02
2017-04-18,1.0070,1.0070,-0.01
2017-04-19,1.0071,1.0071,0.01
2017-04-20,1.0070,1.0070,-0.01
2017-04-21,1.0071,1.0071,0.01
2017-04-24,1.0073,1.0073,0.02
2017-04-25,1.0074,1.0074,0.01
2017-04-26,1.0076,1.0076,0.02
2017-04-27,1.0076,1.0076,0.00
2017-04-28,1.0076,1.0076,0.00
2017-05-02,1.0080,1.0080,0.04
2017-05-03,1.0079,1.0079,-0.01
2017-05-04,1.0077,1.0077,-0.02
2017-05-05,1.0076,1.0076,-0.01
2017-05-08,1.0077,1.0077,0.01
2017-05-09,1.0075,1.0075,-0.02
2017-05-10,1.0071,1.0071,-0.04
2017-05-11,1.0069,1.0069,-0.02
2017-05-12,1.0068,1.0068,-0.01
2017-05-15,1.0071,1.0071,0.03
2017-05-16,1.0071,1.0071,0.00
2017-05-17,1.0071,1.0071,0.00
2017-05-18,1.0073,1.0073,0.02
2017-05-19,1.0075,1.0075,0.02
2017-05-22,1.0076,1.0076,0.01
2017-05-23,1.0076,1.0076,0.00
2017-05-24,1.0077,1.0077,0.01
2017-05-25,1.0079,1.0079,0.02
2017-05-26,1.0080,1.0080,0.01
2017-05-31,1.0085,1.0085,0.05
2017-06-01,1.0086,1.0086,0.01
2017-06-02,1.0087,1.0087,0.01
2017-06-05,1.0090,1.0090,0.03
2017-06-06,1.0090,1.0090,0.00
2017-06-07,1.0090,1.0090,0.00
2017-06-08,1.0090,1.0090,0.00
2017-06-09,1.0092,1.0092,0.02
2017-06-12,1.0096,1.0096,0.04
2017-06-13,1.0099,1.0099,0.03
2017-06-14,1.0102,1.0102,0.03
2017-06-15,1.0104,1.0104,0.02
2017-06-16,1.0105,1.0105,0.01
2017-06-19,1.0112,1.0112,0.07
2017-06-20,1.0117,1.0117,0.05
2017-06-21,1.0119,1.0119,0.02
2017-06-22,1.0119,1.0119,0.00
2017-06-23,1.0121,1.0121,0.02
2017-06-26,1.0127,1.0127,0.06
2017-06-27,1.0133,1.0133,0.06
2017-06-28,1.0135,1.0135,0.02
2017-06-29,1.0137,1.0137,0.02
2017-06-30,1.0137,1.0137,0.00
2017-07-03,1.0142,1.0142,0.05
2017-07-04,1.0143,1.0143,0.01
2017-07-05,1.0146,1.0146,0.03
2017-07-06,1.0149,1.0149,0.03
2017-07-07,1.0152,1.0152,0.03
2017-07-10,1.0154,1.0154,0.02
2017-07-11,1.0153,1.0153,-0.01
2017-07-12,1.0155,1.0155,0.02
2017-07-13,1.0158,1.0158,0.03
2017-07-14,1.0160,1.0160,0.02
2017-07-17,1.0167,1.0167,0.07
2017-07-18,1.0163,1.0163,-0.04
2017-07-19,1.0165,1.0165,0.02
2017-07-20,1.0169,1.0169,0.04
2017-07-21,1.0170,1.0170,0.01
2017-07-24,1.0174,1.0174,0.04
2017-07-25,1.0173,1.0173,-0.01
