净值日期,单位净值,累计净值,日增长率
2017-03-08,1.0000,1.0000,0.00
2017-03-10,1.0002,1.0002,0.00
2017-03-17,1.0005,1.0005,0.00
2017-03-24,1.0011,1.0011,0.00
2017-03-31,1.0021,1.0021,0.00
2017-04-07,1.0024,1.0024,0.00
2017-04-14,0.9996,0.9996,0.00
2017-04-21,0.9900,0.9900,0.00
2017-04-28,0.9896,0.9896,0.00
2017-05-05,0.9842,0.9842,0.00
2017-05-12,0.9779,0.9779,0.00
2017-05-19,0.9812,0.9812,0.00
2017-05-26,0.9806,0.9806,0.00
2017-06-02,0.9833,0.9833,0.00
2017-06-07,0.9857,0.9857,0.00
2017-06-08,0.9857,0.9857,0.00
2017-06-09,0.9865,0.9865,0.08
2017-06-12,0.9912,0.9912,0.48
2017-06-13,0.9924,0.9924,0.12
2017-06-14,0.9947,0.9947,0.23
2017-06-15,0.9947,0.9947,0.00
2017-06-16,0.9942,0.9942,-0.05
2017-06-19,0.9991,0.9991,0.49
2017-06-20,0.9995,0.9995,0.04
2017-06-21,0.9977,0.9977,-0.18
2017-06-22,0.9951,0.9951,-0.26
2017-06-23,0.9964,0.9964,0.13
2017-06-26,0.9987,0.9987,0.23
2017-06-27,1.0003,1.0003,0.16
2017-06-28,0.9991,0.9991,-0.12
2017-06-29,0.9988,0.9988,-0.03
2017-06-30,0.9980,0.9980,-0.08
2017-07-03,0.9968,0.9968,-0.12
2017-07-04,0.9961,0.9961,-0.07
2017-07-05,0.9980,0.9980,0.19
2017-07-06,1.0002,1.0002,0.22
2017-07-07,0.9999,0.9999,-0.03
2017-07-10,1.0001,1.0001,0.02
2017-07-11,1.0007,1.0007,0.06
2017-07-12,1.0023,1.0023,0.16
2017-07-13,1.0034,1.0034,0.11
2017-07-14,1.0028,1.0028,-0.06
2017-07-17,1.0034,1.0034,0.06
2017-07-18,1.0022,1.0022,-0.12
2017-07-19,1.0034,1.0034,0.12
2017-07-20,1.0040,1.0040,0.06
2017-07-21,1.0039,1.0039,-0.01
2017-07-24,1.0043,1.0043,0.04
2017-07-25,1.0035,1.0035,-0.08
2017-07-26,1.0030,1.0030,-0.05
2017-07-27,1.0027,1.0027,-0.03
2017-07-28,1.0031,1.0031,0.04
2017-07-31,1.0019,1.0019,-0.12
2017-08-01,1.0016,1.0016,-0.03
2017-08-02,1.0016,1.0016,0.00
2017-08-03,1.0016,1.0016,0.00
2017-08-04,1.0015,1.0015,-0.01
2017-08-07,0.9978,0.9978,-0.37
2017-08-08,0.9974,0.9974,-0.04
2017-08-09,0.9981,0.9981,0.07
2017-08-10,0.9996,0.9996,0.15
2017-08-11,1.0021,1.0021,0.25
2017-08-14,1.0040,1.0040,0.19
2017-08-15,1.0043,1.0043,0.03
2017-08-16,1.0032,1.0032,-0.11
2017-08-17,1.0029,1.0029,-0.03
2017-08-18,1.0030,1.0030,0.01
2017-08-21,1.0014,1.0014,-0.16
2017-08-22,1.0005,1.0005,-0.09
2017-08-23,0.9990,0.9990,-0.15
2017-08-24,0.9980,0.9980,-0.10
2017-08-25,0.9971,0.9971,-0.09
2017-08-28,0.9952,0.9952,-0.19
2017-08-29,0.9964,0.9964,0.12
2017-08-30,0.9964,0.9964,0.00
2017-08-31,0.9972,0.9972,0.08
2017-09-01,0.9973,0.9973,0.01
2017-09-04,0.9966,0.9966,-0.07
2017-09-05,0.9953,0.9953,-0.13
2017-09-06,0.9964,0.9964,0.11
2017-09-07,0.9989,0.9989,0.25
2017-09-08,1.0009,1.0009,0.20
2017-09-11,1.0006,1.0006,-0.03
2017-09-12,1.0002,1.0002,-0.04
2017-09-13,0.9999,0.9999,-0.03
2017-09-14,1.0019,1.0019,0.20
2017-09-15,1.0033,1.0033,0.14
2017-09-18,1.0027,1.0027,-0.06
2017-09-19,1.0026,1.0026,-0.01
2017-09-20,1.0025,1.0025,-0.01
2017-09-21,1.0018,1.0018,-0.07
2017-09-22,1.0027,1.0027,0.09
2017-09-25,1.0043,1.0043,0.16
2017-09-26,1.0036,1.0036,-0.07
2017-09-27,1.0034,1.0034,-0.02
2017-09-28,1.0046,1.0046,0.12
2017-09-29,1.0047,1.0047,0.01
2017-10-09,1.0039,1.0039,-0.08
2017-10-10,1.0028,1.0028,-0.11
2017-10-11,1.0020,1.0020,-0.08
2017-10-12,1.0002,1.0002,-0.18
2017-10-13,1.0007,1.0007,0.05
2017-10-16,0.9978,0.9978,-0.29
2017-10-17,0.9960,0.9960,-0.18
2017-10-18,0.9960,0.9960,0.00
2017-10-19,0.9977,0.9977,0.17
2017-10-20,0.9975,0.9975,-0.02
2017-10-23,0.9976,0.9976,0.01
2017-10-24,0.9976,0.9976,0.00
2017-10-25,0.9952,0.9952,-0.24
2017-10-26,0.9946,0.9946,-0.06
2017-10-27,0.9931,0.9931,-0.15
2017-10-30,0.9882,0.9882,-0.49
2017-10-31,0.9884,0.9884,0.02
2017-11-01,0.9899,0.9899,0.15
2017-11-02,0.9891,0.9891,-0.08
2017-11-03,0.9884,0.9884,-0.07
2017-11-06,0.9878,0.9878,-0.06
2017-11-07,0.9859,0.9859,-0.19
2017-11-08,0.9856,0.9856,-0.03
2017-11-09,0.9844,0.9844,-0.12
2017-11-10,0.9834,0.9834,-0.10
2017-11-13,0.9790,0.9790,-0.45
2017-11-14,0.9768,0.9768,-0.22
2017-11-15,0.9767,0.9767,-0.01
2017-11-16,0.9782,0.9782,0.15
2017-11-17,0.9780,0.9780,-0.02
2017-11-20,0.9775,0.9775,-0.05
2017-11-21,0.9746,0.9746,-0.30
2017-11-22,0.9664,0.9664,-0.84
2017-11-23,0.9667,0.9667,0.03
2017-11-24,0.9693,0.9693,0.27
2017-11-27,0.9714,0.9714,0.22
2017-11-28,0.9697,0.9697,-0.18
2017-11-29,0.9705,0.9705,0.08
2017-11-30,0.9710,0.9710,0.05
2017-12-01,0.9729,0.9729,0.20
2017-12-04,0.9748,0.9748,0.20
2017-12-05,0.9766,0.9766,0.18
2017-12-06,0.9775,0.9775,0.09
2017-12-07,0.9778,0.9778,0.03
2017-12-08,0.9773,0.9773,-0.05
2017-12-11,0.9746,0.9746,-0.28
2017-12-12,0.9736,0.9736,-0.10
2017-12-13,0.9728,0.9728,-0.08
2017-12-14,0.9740,0.9740,0.12
2017-12-15,0.9746,0.9746,0.06
2017-12-18,0.9759,0.9759,0.13
2017-12-19,0.9746,0.9746,-0.13
2017-12-20,0.9736,0.9736,-0.10
2017-12-21,0.9722,0.9722,-0.14
2017-12-22,0.9738,0.9738,0.16
2017-12-25,0.9737,0.9737,-0.01
2017-12-26,0.9721,0.9721,-0.16
2017-12-27,0.9713,0.9713,-0.08
2017-12-28,0.9718,0.9718,0.05
2017-12-29,0.9725,0.9725,0.07
2017-12-31,0.9727,0.9727,0.00
2018-01-02,0.9728,0.9728,0.03
2018-01-03,0.9720,0.9720,-0.08
2018-01-04,0.9703,0.9703,-0.17
2018-01-05,0.9704,0.9704,0.01
2018-01-08,0.9703,0.9703,-0.01
2018-01-09,0.9709,0.9709,0.06
2018-01-10,0.9689,0.9689,-0.21
2018-01-11,0.9677,0.9677,-0.12
2018-01-12,0.9680,0.9680,0.03
2018-01-15,0.9656,0.9656,-0.25
