净值日期,单位净值,累计净值,日增长率
2017-03-08,1.0000,1.0000,0.00
2017-03-10,1.0002,1.0002,0.00
2017-03-17,1.0004,1.0004,0.00
2017-03-24,1.0009,1.0009,0.00
2017-03-31,1.0019,1.0019,0.00
2017-04-07,1.0021,1.0021,0.00
2017-04-14,0.9992,0.9992,0.00
2017-04-21,0.9896,0.9896,0.00
2017-04-28,0.9891,0.9891,0.00
2017-05-05,0.9836,0.9836,0.00
2017-05-12,0.9772,0.9772,0.00
2017-05-19,0.9804,0.9804,0.00
2017-05-26,0.9798,0.9798,0.00
2017-06-02,0.9824,0.9824,0.00
2017-06-07,0.9847,0.9847,0.00
2017-06-08,0.9847,0.9847,0.00
2017-06-09,0.9855,0.9855,0.08
2017-06-12,0.9902,0.9902,0.48
2017-06-13,0.9914,0.9914,0.12
2017-06-14,0.9936,0.9936,0.22
2017-06-15,0.9936,0.9936,0.00
2017-06-16,0.9931,0.9931,-0.05
2017-06-19,0.9979,0.9979,0.48
2017-06-20,0.9983,0.9983,0.04
2017-06-21,0.9965,0.9965,-0.18
2017-06-22,0.9940,0.9940,-0.25
2017-06-23,0.9952,0.9952,0.12
2017-06-26,0.9975,0.9975,0.23
2017-06-27,0.9990,0.9990,0.15
2017-06-28,0.9978,0.9978,-0.12
2017-06-29,0.9975,0.9975,-0.03
2017-06-30,0.9967,0.9967,-0.08
2017-07-03,0.9955,0.9955,-0.12
2017-07-04,0.9948,0.9948,-0.07
2017-07-05,0.9967,0.9967,0.19
2017-07-06,0.9989,0.9989,0.22
2017-07-07,0.9985,0.9985,-0.04
2017-07-10,0.9987,0.9987,0.02
2017-07-11,0.9993,0.9993,0.06
2017-07-12,1.0009,1.0009,0.16
2017-07-13,1.0020,1.0020,0.11
2017-07-14,1.0014,1.0014,-0.06
2017-07-17,1.0020,1.0020,0.06
2017-07-18,1.0007,1.0007,-0.13
2017-07-19,1.0019,1.0019,0.12
2017-07-20,1.0025,1.0025,0.06
2017-07-21,1.0024,1.0024,-0.01
2017-07-24,1.0028,1.0028,0.04
2017-07-25,1.0020,1.0020,-0.08
2017-07-26,1.0014,1.0014,-0.06
2017-07-27,1.0012,1.0012,-0.02
2017-07-28,1.0016,1.0016,0.04
2017-07-31,1.0003,1.0003,-0.13
2017-08-01,1.0000,1.0000,-0.03
2017-08-02,0.9999,0.9999,-0.01
2017-08-03,0.9999,0.9999,0.00
2017-08-04,0.9999,0.9999,0.00
2017-08-07,0.9961,0.9961,-0.38
2017-08-08,0.9957,0.9957,-0.04
2017-08-09,0.9964,0.9964,0.07
2017-08-10,0.9979,0.9979,0.15
2017-08-11,1.0004,1.0004,0.25
2017-08-14,1.0022,1.0022,0.18
2017-08-15,1.0025,1.0025,0.03
2017-08-16,1.0014,1.0014,-0.11
2017-08-17,1.0011,1.0011,-0.03
2017-08-18,1.0012,1.0012,0.01
2017-08-21,0.9995,0.9995,-0.17
2017-08-22,0.9987,0.9987,-0.08
2017-08-23,0.9971,0.9971,-0.16
2017-08-24,0.9962,0.9962,-0.09
2017-08-25,0.9952,0.9952,-0.10
2017-08-28,0.9933,0.9933,-0.19
2017-08-29,0.9944,0.9944,0.11
2017-08-30,0.9945,0.9945,0.01
2017-08-31,0.9953,0.9953,0.08
2017-09-01,0.9953,0.9953,0.00
2017-09-04,0.9946,0.9946,-0.07
2017-09-05,0.9932,0.9932,-0.14
2017-09-06,0.9944,0.9944,0.12
2017-09-07,0.9969,0.9969,0.25
2017-09-08,0.9989,0.9989,0.20
2017-09-11,0.9985,0.9985,-0.04
2017-09-12,0.9981,0.9981,-0.04
2017-09-13,0.9977,0.9977,-0.04
2017-09-14,0.9998,0.9998,0.21
2017-09-15,1.0012,1.0012,0.14
2017-09-18,1.0005,1.0005,-0.07
2017-09-19,1.0004,1.0004,-0.01
2017-09-20,1.0003,1.0003,-0.01
2017-09-21,0.9996,0.9996,-0.07
2017-09-22,1.0004,1.0004,0.08
2017-09-25,1.0020,1.0020,0.16
2017-09-26,1.0013,1.0013,-0.07
2017-09-27,1.0012,1.0012,-0.01
2017-09-28,1.0023,1.0023,0.11
2017-09-29,1.0024,1.0024,0.01
2017-10-09,1.0015,1.0015,-0.09
2017-10-10,1.0003,1.0003,-0.12
2017-10-11,0.9996,0.9996,-0.07
2017-10-12,0.9978,0.9978,-0.18
2017-10-13,0.9982,0.9982,0.04
2017-10-16,0.9953,0.9953,-0.29
2017-10-17,0.9935,0.9935,-0.18
2017-10-18,0.9936,0.9936,0.01
2017-10-19,0.9952,0.9952,0.16
2017-10-20,0.9950,0.9950,-0.02
2017-10-23,0.9951,0.9951,0.01
2017-10-24,0.9950,0.9950,-0.01
2017-10-25,0.9927,0.9927,-0.23
2017-10-26,0.9921,0.9921,-0.06
2017-10-27,0.9905,0.9905,-0.16
2017-10-30,0.9856,0.9856,-0.49
2017-10-31,0.9858,0.9858,0.02
2017-11-01,0.9873,0.9873,0.15
2017-11-02,0.9865,0.9865,-0.08
2017-11-03,0.9858,0.9858,-0.07
2017-11-06,0.9852,0.9852,-0.06
2017-11-07,0.9832,0.9832,-0.20
2017-11-08,0.9829,0.9829,-0.03
2017-11-09,0.9817,0.9817,-0.12
2017-11-10,0.9807,0.9807,-0.10
2017-11-13,0.9763,0.9763,-0.45
2017-11-14,0.9741,0.9741,-0.23
2017-11-15,0.9740,0.9740,-0.01
2017-11-16,0.9755,0.9755,0.15
2017-11-17,0.9753,0.9753,-0.02
2017-11-20,0.9748,0.9748,-0.05
2017-11-21,0.9718,0.9718,-0.31
2017-11-22,0.9636,0.9636,-0.84
2017-11-23,0.9639,0.9639,0.03
2017-11-24,0.9665,0.9665,0.27
2017-11-27,0.9685,0.9685,0.21
2017-11-28,0.9668,0.9668,-0.18
2017-11-29,0.9676,0.9676,0.08
2017-11-30,0.9681,0.9681,0.05
2017-12-01,0.9700,0.9700,0.20
2017-12-04,0.9718,0.9718,0.19
2017-12-05,0.9736,0.9736,0.19
2017-12-06,0.9744,0.9744,0.08
2017-12-07,0.9748,0.9748,0.04
2017-12-08,0.9742,0.9742,-0.06
2017-12-11,0.9715,0.9715,-0.28
2017-12-12,0.9705,0.9705,-0.10
2017-12-13,0.9697,0.9697,-0.08
2017-12-14,0.9709,0.9709,0.12
2017-12-15,0.9715,0.9715,0.06
2017-12-18,0.9727,0.9727,0.12
2017-12-19,0.9714,0.9714,-0.13
2017-12-20,0.9704,0.9704,-0.10
2017-12-21,0.9690,0.9690,-0.14
2017-12-22,0.9706,0.9706,0.17
2017-12-25,0.9704,0.9704,-0.02
2017-12-26,0.9689,0.9689,-0.15
2017-12-27,0.9680,0.9680,-0.09
2017-12-28,0.9685,0.9685,0.05
2017-12-29,0.9692,0.9692,0.07
2017-12-31,0.9694,0.9694,0.00
2018-01-02,0.9694,0.9694,0.02
2018-01-03,0.9686,0.9686,-0.08
2018-01-04,0.9669,0.9669,-0.18
2018-01-05,0.9670,0.9670,0.01
2018-01-08,0.9669,0.9669,-0.01
2018-01-09,0.9675,0.9675,0.06
2018-01-10,0.9654,0.9654,-0.22
2018-01-11,0.9642,0.9642,-0.12
2018-01-12,0.9646,0.9646,0.04
2018-01-15,0.9621,0.9621,-0.26
