净值日期,单位净值,累计净值,日增长率
2021-04-29,1.0000,1.0000,0.00
2021-04-30,0.9994,0.9994,-0.06
2021-05-07,1.0002,1.0002,0.00
2021-05-14,1.0005,1.0005,0.00
2021-05-17,1.0006,1.0006,0.01
2021-05-18,1.0075,1.0075,0.69
2021-05-19,1.0076,1.0076,0.01
2021-05-20,1.0076,1.0076,0.00
2021-05-21,1.0078,1.0078,0.02
2021-05-24,1.0081,1.0081,0.03
2021-05-25,1.0408,1.0408,3.24
2021-05-26,1.0359,1.0359,-0.47
2021-05-27,1.0368,1.0368,0.09
2021-05-28,1.0368,1.0368,0.00
2021-05-31,1.0368,1.0368,0.00
2021-06-01,1.0370,1.0370,0.02
2021-06-02,1.0371,1.0371,0.01
2021-06-03,1.0371,1.0371,0.00
2021-06-04,1.0371,1.0371,0.00
2021-06-07,1.0372,1.0372,0.01
2021-06-08,1.0372,1.0372,0.00
2021-06-09,1.0373,1.0373,0.01
2021-06-10,1.0373,1.0373,0.00
2021-06-11,1.0373,1.0373,0.00
2021-06-15,1.0375,1.0375,0.02
2021-06-16,1.0376,1.0376,0.01
2021-06-17,1.0376,1.0376,0.00
2021-06-18,1.0376,1.0376,0.00
2021-06-21,1.0377,1.0377,0.01
2021-06-22,1.0377,1.0377,0.00
2021-06-23,1.0377,1.0377,0.00
2021-06-24,1.0377,1.0377,0.00
2021-06-25,1.0378,1.0378,0.01
2021-06-28,1.0380,1.0380,0.02
2021-06-29,1.0381,1.0381,0.01
2021-06-30,1.0380,1.0380,-0.01
2021-07-01,1.0381,1.0381,0.01
2021-07-02,1.0381,1.0381,0.00
2021-07-05,1.0380,1.0380,-0.01
2021-07-06,1.0392,1.0392,0.12
2021-07-07,1.0403,1.0403,0.11
2021-07-08,1.0456,1.0456,0.51
2021-07-09,1.0460,1.0460,0.04
2021-07-12,1.0435,1.0435,-0.24
2021-07-13,1.0436,1.0436,0.01
2021-07-14,1.0439,1.0439,0.03
2021-07-15,1.0442,1.0442,0.03
2021-07-16,1.0445,1.0445,0.03
2021-07-19,1.0447,1.0447,0.02
2021-07-20,1.0454,1.0454,0.07
2021-07-21,1.0452,1.0452,-0.02
2021-07-22,1.0453,1.0453,0.01
2021-07-23,1.0454,1.0454,0.01
2021-07-26,1.0456,1.0456,0.02
2021-07-27,1.0457,1.0457,0.01
2021-07-28,1.0455,1.0455,-0.02
2021-07-29,1.0452,1.0452,-0.03
2021-07-30,1.0457,1.0457,0.05
2021-08-02,1.0461,1.0461,0.04
2021-08-03,1.0460,1.0460,-0.01
2021-08-04,1.0461,1.0461,0.01
2021-08-05,1.0461,1.0461,0.00
2021-08-06,1.0465,1.0465,0.04
2021-08-09,1.0463,1.0463,-0.02
2021-08-10,1.0460,1.0460,-0.03
2021-08-11,1.0458,1.0458,-0.02
2021-08-12,1.0458,1.0458,0.00
2021-08-13,1.0460,1.0460,0.02
2021-08-16,1.0463,1.0463,0.03
2021-08-17,1.0463,1.0463,0.00
2021-08-18,1.0463,1.0463,0.00
2021-08-19,1.0463,1.0463,0.00
2021-08-20,1.0464,1.0464,0.01
2021-08-23,1.0463,1.0463,-0.01
2021-08-24,1.3982,1.3982,0.00
2021-08-25,1.3982,1.3982,0.00
2021-08-26,1.3978,1.3978,-0.03
2021-08-27,1.3971,1.3971,-0.05
2021-08-30,1.3981,1.3981,0.07
2021-08-31,1.3982,1.3982,0.01
2021-09-01,1.3984,1.3984,0.01
2021-09-02,1.3986,1.3986,0.01
2021-09-03,1.3984,1.3984,-0.01
2021-09-06,1.3984,1.3984,0.00
2021-09-07,1.3981,1.3981,-0.02
2021-09-08,1.3979,1.3979,-0.01
2021-09-09,1.3974,1.3974,-0.04
2021-09-10,1.3969,1.3969,-0.04
2021-09-13,1.3973,1.3973,0.03
2021-09-14,1.3972,1.3972,-0.01
2021-09-15,1.3971,1.3971,-0.01
2021-09-16,1.3972,1.3972,0.01
2021-09-17,1.3972,1.3972,0.00
2021-09-22,1.3975,1.3975,0.02
2021-09-23,1.3975,1.3975,0.00
2021-09-24,1.3974,1.3974,-0.01
2021-09-27,1.3976,1.3976,0.01
2021-09-28,1.3975,1.3975,-0.01
2021-09-29,1.3978,1.3978,0.02
2021-09-30,1.3981,1.3981,0.02
2021-10-08,1.3986,1.3986,0.04
2021-10-11,1.3986,1.3986,0.00
2021-10-12,1.3986,1.3986,0.00
2021-10-13,1.3986,1.3986,0.00
2021-10-14,1.3986,1.3986,0.00
2021-10-15,1.3986,1.3986,0.00
2021-10-18,1.4011,1.4011,0.18
2021-10-19,1.5116,1.5116,7.89
2021-10-20,1.5119,1.5119,0.02
2021-10-21,1.5389,1.5389,1.79
2021-10-22,1.5389,1.5389,0.00
2021-10-25,1.5391,1.5391,0.01
2021-10-26,1.5392,1.5392,0.01
2021-10-27,1.5391,1.5391,-0.01
2021-10-28,1.5394,1.5394,0.02
2021-10-29,1.5394,1.5394,0.00
2021-11-01,1.5396,1.5396,0.01
2021-11-02,1.5397,1.5397,0.01
2021-11-03,1.5399,1.5399,0.01
2021-11-04,1.5398,1.5398,-0.01
2021-11-05,1.5399,1.5399,0.01
2021-11-08,1.5402,1.5402,0.02
2021-11-09,1.5403,1.5403,0.01
2021-11-10,1.5404,1.5404,0.01
2021-11-11,1.5403,1.5403,-0.01
2021-11-12,1.5404,1.5404,0.01
2021-11-15,1.5408,1.5408,0.03
2021-11-16,1.5408,1.5408,0.00
2021-11-17,1.5408,1.5408,0.00
2021-11-18,1.5409,1.5409,0.01
2021-11-19,1.5410,1.5410,0.01
2021-11-22,1.5413,1.5413,0.02
2021-11-23,1.5414,1.5414,0.01
2021-11-24,1.5414,1.5414,0.00
2021-11-25,1.5415,1.5415,0.01
2021-11-26,1.5415,1.5415,0.00
2021-11-29,1.5416,1.5416,0.01
2021-11-30,1.5417,1.5417,0.01
2021-12-01,1.5417,1.5417,0.00
2021-12-02,1.5454,1.5454,0.24
2021-12-03,1.5456,1.5456,0.01
2021-12-06,1.5474,1.5474,0.12
2021-12-07,1.5464,1.5464,-0.06
2021-12-08,1.5462,1.5462,-0.01
2021-12-09,1.5461,1.5461,-0.01
2021-12-10,1.5460,1.5460,-0.01
2021-12-13,1.5461,1.5461,0.01
2021-12-14,1.5464,1.5464,0.02
2021-12-15,1.5468,1.5468,0.03
2021-12-16,1.5468,1.5468,0.00
2021-12-17,1.5468,1.5468,0.00
2021-12-20,1.5466,1.5466,-0.01
2021-12-21,1.5464,1.5464,-0.01
2021-12-22,1.5466,1.5466,0.01
2021-12-23,1.5470,1.5470,0.03
2021-12-24,1.5470,1.5470,0.00
2021-12-27,1.4926,1.5476,0.04
2021-12-28,1.4930,1.5480,0.03
2021-12-29,1.4934,1.5484,0.03
2021-12-30,1.4937,1.5487,0.02
2021-12-31,1.4942,1.5492,0.03
2022-01-04,1.4946,1.5496,0.03
2022-01-05,1.4947,1.5497,0.01
2022-01-06,1.4946,1.5496,-0.01
2022-01-07,1.4949,1.5499,0.02
2022-01-10,1.4955,1.5505,0.04
2022-01-11,1.4958,1.5508,0.02
2022-01-12,1.4960,1.5510,0.01
2022-01-13,1.4961,1.5511,0.01
2022-01-14,1.4960,1.5510,-0.01
2022-01-17,1.4968,1.5518,0.05
2022-01-18,1.4995,1.5545,0.18
2022-01-19,1.5006,1.5556,0.07
2022-01-20,1.5011,1.5561,0.03
2022-01-21,1.5021,1.5571,0.07
2022-01-24,1.5037,1.5587,0.11
2022-01-25,1.5030,1.5580,-0.05
2022-01-26,1.4273,1.5573,-0.05
2022-01-27,1.4268,1.5568,-0.04
2022-01-28,1.4281,1.5581,0.09
2022-02-07,1.4286,1.5586,0.04
2022-02-08,1.4288,1.5588,0.01
2022-02-09,1.4288,1.5588,0.00
2022-02-10,1.4291,1.5591,0.02
2022-02-11,1.4279,1.5579,-0.08
2022-02-14,1.4278,1.5578,-0.01
2022-02-15,1.4274,1.5574,-0.03
2022-02-16,1.4276,1.5576,0.01
2022-02-17,1.4280,1.5580,0.03
2022-02-18,1.4276,1.5576,-0.03
