净值日期,单位净值,累计净值,日增长率
2021-08-13,1.0000,1.0000,0.00
2021-08-19,1.0002,1.0002,0.00
2021-08-20,1.0002,1.0002,0.00
2021-08-23,2.3861,2.3861,138.56
2021-08-24,2.3861,2.3861,0.00
2021-08-25,2.3862,2.3862,0.00
2021-08-26,2.3863,2.3863,0.00
2021-08-27,2.3864,2.3864,0.00
2021-08-30,2.3867,2.3867,0.01
2021-08-31,2.3868,2.3868,0.00
2021-09-01,2.3870,2.3870,0.01
2021-09-02,2.3871,2.3871,0.00
2021-09-03,2.3870,2.3870,0.00
2021-09-06,2.3873,2.3873,0.01
2021-09-07,2.3868,2.3868,-0.02
2021-09-08,2.3864,2.3864,-0.02
2021-09-09,2.3862,2.3862,-0.01
2021-09-10,2.3863,2.3863,0.00
2021-09-13,2.3858,2.3858,-0.02
2021-09-14,2.3852,2.3852,-0.03
2021-09-15,2.3853,2.3853,0.00
2021-09-16,2.3854,2.3854,0.00
2021-09-17,2.3859,2.3859,0.02
2021-09-22,2.3866,2.3866,0.03
2021-09-23,2.3869,2.3869,0.01
2021-09-24,2.3867,2.3867,-0.01
2021-09-27,2.3864,2.3864,-0.01
2021-09-28,2.3860,2.3860,-0.02
2021-09-29,2.3870,2.3870,0.04
2021-09-30,2.3879,2.3879,0.04
2021-10-08,2.3886,2.3886,0.03
2021-10-11,2.3879,2.3879,-0.03
2021-10-12,2.3877,2.3877,-0.01
2021-10-13,2.3879,2.3879,0.01
2021-10-14,2.3880,2.3880,0.00
2021-10-15,2.3879,2.3879,0.00
2021-10-18,2.3864,2.3864,-0.06
2021-10-19,2.3867,2.3867,0.01
2021-10-20,2.3873,2.3873,0.03
2021-10-21,2.3889,2.3889,0.07
2021-10-22,2.3890,2.3890,0.00
2021-10-25,2.3896,2.3896,0.03
2021-10-26,2.3902,2.3902,0.03
2021-10-27,2.3903,2.3903,0.00
2021-10-28,2.3909,2.3909,0.03
2021-10-29,2.3910,2.3910,0.00
2021-11-01,2.3924,2.3924,0.06
2021-11-02,2.3935,2.3935,0.05
2021-11-03,2.3937,2.3937,0.01
2021-11-04,2.3944,2.3944,0.03
2021-11-05,2.3961,2.3961,0.07
2021-11-08,2.3960,2.3960,0.00
2021-11-09,2.3957,2.3957,-0.01
2021-11-10,2.3959,2.3959,0.01
2021-11-11,2.3957,2.3957,-0.01
2021-11-12,2.3962,2.3962,0.02
2021-11-15,2.3975,2.3975,0.05
2021-11-16,2.3981,2.3981,0.03
2021-11-17,2.3983,2.3983,0.01
2021-11-18,2.3990,2.3990,0.03
2021-11-19,2.3989,2.3989,0.00
2021-11-22,2.4001,2.4001,0.05
2021-11-23,2.4003,2.4003,0.01
2021-11-24,2.4010,2.4010,0.03
2021-11-25,2.4013,2.4013,0.01
2021-11-26,2.4023,2.4023,0.04
2021-11-29,2.4032,2.4032,0.04
2021-11-30,2.4029,2.4029,-0.01
2021-12-01,2.4028,2.4028,0.00
2021-12-02,2.3999,2.3999,-0.12
2021-12-03,2.3996,2.3996,-0.01
2021-12-06,2.4017,2.4017,0.09
2021-12-07,2.4014,2.4014,-0.01
2021-12-08,2.4011,2.4011,-0.01
2021-12-09,2.4015,2.4015,0.02
2021-12-10,2.4022,2.4022,0.03
2021-12-13,2.4027,2.4027,0.02
2021-12-14,2.4035,2.4035,0.03
2021-12-15,2.4040,2.4040,0.02
2021-12-16,2.4042,2.4042,0.01
2021-12-17,2.4043,2.4043,0.00
2021-12-20,2.4032,2.4032,-0.05
2021-12-21,2.4030,2.4030,-0.01
2021-12-22,2.4039,2.4039,0.04
2021-12-23,2.4052,2.4052,0.05
2021-12-24,2.4054,2.4054,0.01
2021-12-27,2.4062,2.4062,0.03
2021-12-28,2.4067,2.4067,0.02
2021-12-29,2.4078,2.4078,0.05
2021-12-30,2.4100,2.4100,0.09
2021-12-31,2.4108,2.4108,0.03
2022-01-04,2.4112,2.4112,0.02
2022-01-05,2.4111,2.4111,0.00
2022-01-06,2.4110,2.4110,0.00
2022-01-07,2.4117,2.4117,0.03
2022-01-10,2.4132,2.4132,0.06
2022-01-11,2.4139,2.4139,0.03
2022-01-12,2.4140,2.4140,0.00
2022-01-13,2.4140,2.4140,0.00
2022-01-14,2.4139,2.4139,0.00
2022-01-17,2.4153,2.4153,0.06
2022-01-18,2.4186,2.4186,0.14
2022-01-19,2.4202,2.4202,0.07
2022-01-20,2.4207,2.4207,0.02
2022-01-21,2.4226,2.4226,0.08
2022-01-24,2.4254,2.4254,0.12
2022-01-25,2.4241,2.4241,-0.05
2022-01-26,2.4230,2.4230,-0.05
2022-01-27,2.4226,2.4226,-0.02
2022-01-28,2.4239,2.4239,0.05
2022-02-07,2.4256,2.4256,0.07
2022-02-08,2.4267,2.4267,0.05
2022-02-09,2.4267,2.4267,0.00
2022-02-10,2.4274,2.4274,0.03
2022-02-11,2.4246,2.4246,-0.12
2022-02-14,2.4244,2.4244,-0.01
2022-02-15,2.4249,2.4249,0.02
2022-02-16,2.4254,2.4254,0.02
2022-02-17,2.4260,2.4260,0.02
2022-02-18,2.4252,2.4252,-0.03
